4-16/
PRISM,standard,1.56,1.55,1.53,1.53,1.55,1.52,1.55,1.54,1.55,1.53,1.56,1.52,1.52,1.57,1.57,1.53,1.68,1.53,1.52,1.55,1.52,1.49,1.57,1.49,1.47,1.68,1.53,1.53,1.53,1.53,1.53,1.53,1.52,1.56,1.66,1.48,1.50,1.55,1.57,1.58,1.54,1.57,1.52,1.58,1.54,1.53,1.55,1.57,1.49,1.58
MRMC,without,0.24,0.26,0.30,0.24,0.23,0.23,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.24,0.23,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.24,0.23,0.24,0.24,0.24,0.24,0.23,0.24,0.24,0.24,0.31,0.30,0.25,0.24,0.24,0.23
MRMC,standard,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01

5-2/
PRISM,without,1.31,1.32,1.29,1.28,1.28,1.29,1.26,1.27,1.31,1.27,1.29,1.27,1.31,1.28,1.26,1.33,1.27,1.30,1.27,1.27,1.29,1.27,1.30,1.31,1.41,1.28,1.29,1.31,1.29,1.28,1.32,1.29,1.25,1.37,1.31,1.27,1.29,1.29,1.28,1.26,1.26,1.30,1.33,1.25,1.28,1.29,1.26,1.31,1.28,1.27
PRISM,standard,1.23,1.23,1.25,1.26,1.26,1.28,1.25,1.25,1.25,1.29,1.20,1.24,1.23,1.25,1.24,1.24,1.27,1.26,1.33,1.24,1.25,1.25,1.23,1.23,1.25,1.25,1.24,1.34,1.22,1.26,1.26,1.23,1.23,1.25,1.27,1.23,1.28,1.26,1.24,1.22,1.23,1.23,1.25,1.25,1.24,1.24,1.25,1.25,1.26,1.25
MRMC,without,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MRMC,standard,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00

